span_mm,force_n,E,Ix_mm4,Sx_mm3,is_point,deflection_mm,stress_mpa
11837.654569968148,240077.82572378984,69000.0,428000000.0,2450000.0,0.0,175.5880508817506,144.99787606262228
3381.392153781403,41856.38155294143,200000.0,117700000.0,713000.0,0.0,0.8951186883605613,24.812910268023128
9734.940755263357,253446.66839361718,69000.0,4110000000.0,9140000.0,1.0,17.17727921987825,67.48600386845098
7083.006198215902,62863.029936005725,200000.0,564000000.0,2860000.0,1.0,4.125701835014342,38.92126142266876
11756.781440325814,192317.55109459825,200000.0,403000000.0,2300000.0,0.0,50.48797968955287,122.88235953033939
3834.6617858848913,234829.52831302144,200000.0,403000000.0,2300000.0,0.0,2.1391322760438904,48.939772740178675
13397.804001063236,139242.9165133165,200000.0,251700000.0,1678000.0,0.0,86.61628252686383,138.9711936816021
4951.849165873018,130792.03807735731,200000.0,1072000000.0,4287000.0,0.0,0.9644895550436501,18.88448928901851
10309.572068003858,68187.14038735298,200000.0,10000000.0,135000.0,1.0,778.3109867741521,1301.8152554342985
6239.373921411336,324633.00107121404,69000.0,920000000.0,3380000.0,0.0,16.174004836591656,74.90779145390319
13114.223042277716,273839.9699257232,200000.0,47200000.0,472000.0,0.0,851.9053022276721,951.0589098242247
7813.977444267947,32504.12577192606,69000.0,72100000.0,481000.0,1.0,64.94255289132168,132.0096183094764
8990.775113907328,310792.2723214789,200000.0,1870000000.0,8170000.0,1.0,12.581973802859324,85.5037768538244
5959.530092327801,200865.16561547125,200000.0,24920000.0,311000.0,1.0,177.71390392915825,962.2684879307028
10002.395099347876,133078.79086262773,200000.0,162700000.0,904000.0,1.0,85.26328803282034,368.11577587155864
12069.385890404854,302774.9892866664,200000.0,192700000.0,1376000.0,1.0,287.75479480556413,663.9368066249413
11165.774561955925,212779.0704488711,200000.0,478000000.0,1910000.0,0.0,40.343758964830315,155.48711597739486
4374.62091580424,310828.07304389705,200000.0,308200000.0,1926000.0,1.0,8.795036452640819,176.49986884175706
6522.001543769114,63773.636477187705,200000.0,6660000.0,88800.0,0.0,172.94914876676717,585.4895207712776
12143.546388624776,182611.76936547057,200000.0,192700000.0,1376000.0,1.0,176.77157250325223,402.8987086479562
10667.393938392062,217049.87188897858,200000.0,419000000.0,1690000.0,0.0,40.93825207241254,171.25417808560226
8863.268496347375,48035.02660910432,200000.0,63200000.0,424000.0,1.0,55.125360327076486,251.03027008589822
5890.459109366797,202901.3608542294,200000.0,403000000.0,2300000.0,0.0,6.699403481508276,64.95555268189226
12792.279041041062,342514.7278502936,69000.0,930000000.0,4490000.0,1.0,232.7821882918189,243.96124578661204
8703.388537184775,196933.22178828093,200000.0,337400000.0,1500000.0,0.0,25.05231174083382,142.83219542526402
8077.655282410643,82011.3898503079,69000.0,1710000000.0,5701000.0,1.0,7.632093461020425,29.050155079903565
8417.833696693557,94287.9086464427,200000.0,200000000.0,1010000.0,1.0,29.292456853874743,196.4603798502317
9647.058269093757,210069.63889951934,200000.0,215000000.0,1440000.0,0.0,57.1108098208079,175.91614991591268
3706.4852025158807,32916.11155750455,200000.0,136000000.0,775000.0,1.0,1.2837640094155767,39.35583239104798
5856.055612427943,237452.4446207354,200000.0,671200000.0,2441000.0,1.0,7.400635955410931,142.41445319603832
12689.963973199721,74739.37088303841,200000.0,431900000.0,2400000.0,1.0,36.836314157485276,98.79582540473632
8082.943476239049,168788.38713246948,200000.0,798900000.0,3551000.0,0.0,7.263861448557202,48.02545031813123
10754.157015539813,30608.30918618464,200000.0,564000000.0,2860000.0,1.0,7.031016577537223,28.773300958778037
5282.506901289738,162528.60626326484,200000.0,113000000.0,771000.0,1.0,22.085150033604037,278.3912076014124
5997.677374585206,323910.30375384435,200000.0,920800000.0,3069000.0,1.0,7.905648875357344,158.25264746004973
10825.738727982265,193799.8989541037,200000.0,428000000.0,2450000.0,0.0,37.40168652862366,107.04219752991433
13184.348812971666,66545.77760533078,200000.0,38920000.0,324000.0,1.0,408.18072526895827,676.9774259097886
7812.483510593432,29936.035990540833,200000.0,3830000.0,76500.0,0.0,242.64516603941647,382.1483456677581
14487.811690316079,348443.71442752273,69000.0,431900000.0,2400000.0,0.0,462.9642938130163,262.92640204686705
